day,rideable_type,num_trips
2023-07-22,electric_bike,6571
2021-08-28,electric_bike,5446
2021-09-05,electric_bike,5774
2022-09-15,electric_bike,6266
2023-06-22,electric_bike,5711
2023-07-15,electric_bike,7752
2022-01-16,electric_bike,443
2023-07-07,electric_bike,6119
2022-09-30,electric_bike,5909
2023-07-24,electric_bike,4791
2022-08-23,electric_bike,6332
2021-09-22,electric_bike,2897
2021-11-06,electric_bike,4660
2022-10-31,electric_bike,2798
2022-08-22,electric_bike,5905
2023-04-13,electric_bike,5336
2022-05-29,electric_bike,7665
2021-12-08,electric_bike,1383
2021-08-22,electric_bike,4964
2022-06-15,electric_bike,5212
2021-07-18,electric_bike,5713
2021-06-28,electric_bike,2838
2021-03-01,electric_bike,238
2022-07-17,electric_bike,6818
2023-04-18,electric_bike,2636
2020-11-17,electric_bike,785
2021-10-13,electric_bike,3599
2022-07-13,electric_bike,6765
2021-04-13,electric_bike,1093
2022-07-28,electric_bike,7106
2021-03-26,electric_bike,704
2023-05-05,electric_bike,5375
2022-07-26,electric_bike,5999
2021-07-16,electric_bike,4861
2021-08-16,electric_bike,4055
2022-10-26,electric_bike,3444
2021-07-27,electric_bike,3720
2022-07-25,electric_bike,5649
2021-08-19,electric_bike,3972
2021-07-09,electric_bike,5326
2022-08-04,electric_bike,6128
2021-08-11,electric_bike,3289
2021-03-24,electric_bike,944
2020-10-11,electric_bike,3631
2021-11-11,electric_bike,2248
2021-09-19,electric_bike,5515
2021-09-15,electric_bike,3646
2021-10-08,electric_bike,4411
2021-05-26,electric_bike,3243
2021-08-13,electric_bike,4681
2021-09-25,electric_bike,6058
2022-05-10,electric_bike,4835
2020-09-23,electric_bike,2297
2022-07-20,electric_bike,6752
2022-09-16,electric_bike,7418
2022-08-01,electric_bike,5794
2022-10-23,electric_bike,6501
2021-12-21,electric_bike,1118
2022-06-04,electric_bike,6422
2022-10-14,electric_bike,3992
2023-04-29,electric_bike,2849
2021-05-02,electric_bike,3114
2022-05-11,electric_bike,4525
2021-12-04,electric_bike,2680
2022-06-18,electric_bike,7843
2021-06-13,electric_bike,5741
2022-05-06,electric_bike,1638
2023-01-14,electric_bike,859
2023-06-20,electric_bike,5149
2023-04-07,electric_bike,2377
2022-09-10,electric_bike,9575
2022-07-08,electric_bike,6502
2021-05-13,electric_bike,2761
2023-05-09,electric_bike,3433
2023-06-11,electric_bike,2715
2021-12-12,electric_bike,1833
2022-10-29,electric_bike,5630
2023-06-19,electric_bike,5994
2023-01-30,electric_bike,277
2023-05-25,electric_bike,3920
2022-06-24,electric_bike,7817
2021-10-07,electric_bike,3132
2022-09-22,electric_bike,4847
2021-09-01,electric_bike,3860
2021-07-04,electric_bike,6324
2022-05-04,electric_bike,2867
2021-10-04,electric_bike,3270
2023-05-07,electric_bike,5592
2022-08-07,electric_bike,4853
2023-05-17,electric_bike,3183
2021-12-25,electric_bike,663
2023-04-27,electric_bike,3577
2021-12-24,electric_bike,1082
2022-08-21,electric_bike,8079
2023-03-22,electric_bike,1307
2021-12-11,electric_bike,1933
2022-05-15,electric_bike,3831
2021-02-26,electric_bike,280
2021-09-08,electric_bike,3797
2023-04-12,electric_bike,4941
2020-09-08,electric_bike,614
2023-05-31,electric_bike,4730
2020-11-03,electric_bike,1977
2021-05-15,electric_bike,3183
2021-06-03,electric_bike,4359
2021-05-08,electric_bike,2724
2023-02-05,electric_bike,776
2020-07-14,electric_bike,14
2021-09-28,electric_bike,4175
2021-04-03,electric_bike,2379
2021-05-18,electric_bike,1994
2020-10-01,electric_bike,1545
2022-05-23,electric_bike,3436
2022-06-08,electric_bike,3064
2022-05-16,electric_bike,4463
2020-09-05,electric_bike,2180
2020-08-21,electric_bike,1070
2023-04-08,electric_bike,3836
2022-05-18,electric_bike,2861
2020-11-26,electric_bike,521
2020-10-05,electric_bike,1786
2021-12-31,electric_bike,1369
2022-01-01,electric_bike,606
2021-04-22,electric_bike,1362
2020-12-16,electric_bike,358
2023-01-06,electric_bike,956
2020-10-26,electric_bike,831
2021-03-17,electric_bike,313
2021-11-15,electric_bike,1373
2023-01-17,electric_bike,1082
2022-01-14,electric_bike,562
2022-10-17,electric_bike,2036
2022-01-30,electric_bike,248
2021-05-09,electric_bike,1321
2020-12-07,electric_bike,461
2020-08-15,electric_bike,1153
2023-01-18,electric_bike,1023
2020-12-10,electric_bike,902
2022-01-20,electric_bike,345
2022-01-15,electric_bike,403
2020-09-17,electric_bike,1986
2023-01-22,electric_bike,470
2023-04-22,electric_bike,2416
