duration,frequency,member_type
1,171696,member
1,68371,casual
2,108065,casual
2,392446,member
3,177514,casual
3,571707,member
4,235786,casual
4,647764,member
5,649631,member
5,273618,casual
6,294370,casual
6,620062,member
7,303752,casual
7,572406,member
8,520987,member
8,300881,casual
9,474578,member
9,292165,casual
10,428032,member
10,278547,casual
11,262089,casual
11,383107,member
12,341703,member
12,245629,casual
13,306764,member
13,228884,casual
14,212615,casual
14,275015,member
15,246790,member
15,196427,casual
16,183281,casual
16,221190,member
17,169335,casual
17,199059,member
18,180624,member
18,157097,casual
19,162540,member
19,145867,casual
20,148635,member
20,137450,casual
21,133697,member
21,127438,casual
22,119069,casual
22,121875,member
23,111723,member
23,112378,casual
24,105678,casual
24,102029,member
25,100068,casual
25,93593,member
26,94032,casual
26,85869,member
27,78649,member
27,89146,casual
28,71631,member
28,84405,casual
29,65963,member
29,78236,casual
30,60787,member
30,71991,casual
31,55579,member
31,65160,casual
32,50605,member
32,59935,casual
33,55729,casual
33,47487,member
34,51696,casual
34,44022,member
35,40392,member
35,48597,casual
36,45774,casual
36,37188,member
37,43331,casual
37,34252,member
38,31884,member
38,40700,casual
39,29253,member
39,39062,casual
40,26854,member
40,36577,casual
41,34774,casual
41,24586,member
42,33201,casual
42,22449,member
43,20020,member
43,31428,casual
44,17609,member
44,29568,casual
45,28637,casual
45,14431,member
46,11531,member
46,26877,casual
47,26013,casual
47,9873,member
48,8776,member
48,25065,casual
49,7851,member
49,24170,casual
50,23191,casual
50,7016,member
51,22036,casual
51,6202,member
52,21225,casual
52,5693,member
53,20697,casual
53,5212,member
54,20094,casual
54,4763,member
55,19247,casual
55,4398,member
56,18482,casual
56,4002,member
57,3679,member
57,18105,casual
58,17092,casual
58,3440,member
59,16547,casual
59,3196,member
60,16321,casual
60,3018,member
61,15281,casual
61,2714,member
62,14922,casual
62,2617,member
63,2378,member
63,14330,casual
64,14503,casual
64,2388,member
65,2227,member
65,13725,casual
66,13074,casual
66,1965,member
67,1840,member
67,12654,casual
68,12275,casual
68,1772,member
69,1713,member
69,11862,casual
70,11393,casual
70,1632,member
71,11205,casual
71,1538,member
72,10717,casual
72,1410,member
73,10496,casual
73,1319,member
74,1264,member
74,10200,casual
75,10108,casual
75,1167,member
76,1187,member
76,9606,casual
77,1080,member
77,9263,casual
78,1079,member
78,9006,casual
79,996,member
79,8975,casual
80,8666,casual
80,989,member
81,947,member
81,8254,casual
82,8112,casual
82,870,member
83,794,member
83,7856,casual
84,7626,casual
84,802,member
85,775,member
85,7615,casual
86,7259,casual
86,804,member
87,720,member
87,7074,casual
88,7037,casual
88,734,member
89,6575,casual
89,677,member
90,6441,casual
90,638,member
91,624,member
91,6334,casual
92,6173,casual
92,612,member
93,5968,casual
93,533,member
94,5853,casual
94,502,member
95,5660,casual
95,559,member
96,533,member
96,5432,casual
97,5258,casual
97,529,member
98,5233,casual
98,465,member
99,478,member
99,5195,casual
100,4995,casual
100,434,member
101,415,member
101,4818,casual
102,4670,casual
102,411,member
103,372,member
103,4563,casual
104,363,member
104,4513,casual
105,4347,casual
105,351,member
106,349,member
106,4258,casual
107,4230,casual
107,363,member
108,337,member
108,4091,casual
109,326,member
109,3900,casual
110,3789,casual
110,316,member
111,329,member
111,3798,casual
112,3601,casual
112,278,member
113,3660,casual
113,286,member
114,3547,casual
114,290,member
115,3349,casual
115,274,member
116,3479,casual
116,285,member
117,288,member
117,3353,casual
118,3075,casual
118,231,member
119,3029,casual
119,210,member
120,2905,casual
120,234,member
121,2928,casual
121,225,member
122,216,member
122,2749,casual
123,223,member
123,2731,casual
124,2629,casual
124,227,member
125,2656,casual
125,199,member
126,2600,casual
126,194,member
