start_lat,start_lon,f0_,member_type
41.89,-87.68,18849,member
41.75,-87.68,309,casual
42.03,-87.69,182,casual
41.93,-87.72,10010,member
41.97,-87.67,43807,casual
41.73,-87.67,498,member
41.95,-87.66,67883,casual
41.87,-87.62,170264,casual
41.92,-87.7,49164,member
41.79,-87.59,15667,casual
41.96,-87.71,8228,member
41.81,-87.69,552,casual
41.91,-87.65,143909,member
41.8,-87.59,51138,casual
41.96,-87.63,1397,casual
42.0,-87.7,1532,member
41.65,-87.55,252,casual
41.78,-87.65,520,casual
41.94,-87.7,8133,casual
42.04,-87.69,206,member
41.91,-87.68,82153,member
41.92,-87.63,56518,casual
41.72,-87.63,394,member
41.74,-87.62,1070,casual
41.9,-87.63,222367,casual
41.93,-87.75,1719,member
41.93,-87.67,36697,casual
41.82,-87.6,1430,member
41.97,-87.66,53806,member
41.93,-87.76,2151,member
41.93,-87.69,5677,casual
41.91,-87.77,734,casual
41.76,-87.66,453,casual
41.79,-87.58,11004,casual
41.88,-87.64,394694,member
41.78,-87.59,3069,member
41.94,-87.77,1232,casual
41.77,-87.57,6441,member
41.85,-87.71,1523,member
41.81,-87.59,8247,member
41.9,-87.65,28516,member
41.91,-87.62,7523,casual
41.88,-87.62,159121,member
41.94,-87.69,8372,casual
41.97,-87.7,15619,member
41.94,-87.77,935,member
41.78,-87.7,759,casual
41.88,-87.76,3209,member
41.9,-87.66,39017,member
41.97,-87.71,8498,member
41.91,-87.72,10104,casual
41.89,-87.67,22260,casual
41.89,-87.64,332469,member
41.94,-87.66,82404,casual
41.66,-87.64,43,member
41.78,-87.58,2683,member
42.06,-87.68,8417,casual
41.96,-87.64,30209,member
41.9,-87.72,1221,member
42.05,-87.68,17189,member
41.96,-87.69,4823,casual
41.97,-87.69,31247,member
41.82,-87.7,701,casual
42.04,-87.69,133,casual
41.93,-87.68,25480,member
41.99,-87.66,22665,casual
41.77,-87.58,3615,casual
41.9,-87.68,51520,casual
42.02,-87.67,10679,casual
42.01,-87.71,670,member
41.79,-87.62,3595,casual
41.87,-87.62,82324,member
41.87,-87.71,1615,casual
41.81,-87.73,308,casual
41.86,-87.67,6097,casual
41.76,-87.58,595,member
41.71,-87.67,1272,casual
41.85,-87.69,7716,member
41.78,-87.67,361,member
41.8,-87.62,1994,member
41.98,-87.68,10925,casual
41.94,-87.73,2974,member
41.95,-87.77,373,member
41.79,-87.7,553,member
41.86,-87.71,599,casual
42.05,-87.69,627,member
41.71,-87.64,685,casual
41.95,-87.69,10773,casual
41.8,-87.69,407,casual
41.75,-87.68,327,member
41.96,-87.73,2697,member
42.01,-87.71,1085,casual
41.72,-87.57,213,member
41.75,-87.58,624,casual
41.72,-87.68,748,casual
41.78,-87.59,3822,casual
41.82,-87.68,896,member
41.76,-87.58,1054,casual
41.93,-87.77,1533,member
41.79,-87.7,1332,casual
41.88,-87.7,2211,casual
41.75,-87.66,696,casual
41.93,-87.67,49984,member
41.86,-87.7,645,member
41.95,-87.82,39,member
41.75,-87.61,741,member
41.74,-87.66,622,casual
41.85,-87.68,6822,member
41.86,-87.72,724,casual
41.81,-87.72,369,casual
41.75,-87.56,180,member
41.78,-87.77,67,casual
41.99,-87.67,6024,casual
41.74,-87.61,510,member
41.94,-87.63,1199,member
41.84,-87.61,23135,casual
41.78,-87.61,4294,member
41.75,-87.65,159,casual
41.79,-87.63,812,member
41.71,-87.68,319,casual
41.87,-87.71,894,member
41.98,-87.82,6,casual
41.73,-87.68,363,casual
42.03,-87.68,6188,casual
41.83,-87.68,3235,casual
41.82,-87.72,187,casual
41.74,-87.53,198,casual
41.8,-87.66,485,member
41.93,-87.81,432,casual
41.89,-87.6,414,casual
41.83,-87.67,2058,member
41.95,-87.81,1244,casual
41.94,-87.8,397,casual
41.89,-87.78,39,casual
41.89,-87.75,1032,member
41.72,-87.66,352,casual
41.68,-87.62,199,casual
42.03,-87.7,864,casual
41.8,-87.65,445,member
41.75,-87.57,550,member
41.73,-87.64,104,casual
41.71,-87.64,194,member
42.02,-87.7,1318,casual
41.99,-87.69,4019,casual
41.86,-87.67,9755,member
41.79,-87.68,428,casual
41.91,-87.76,289,member
41.71,-87.54,155,casual
41.7,-87.6,246,member
41.74,-87.67,99,casual
41.78,-87.69,358,casual
41.72,-87.68,407,member
41.77,-87.65,601,casual
41.71,-87.65,151,casual
42.02,-87.69,1842,casual
41.88,-87.77,1086,casual
41.87,-87.75,258,member
41.75,-87.61,1323,casual
41.89,-87.6,107,member
41.72,-87.55,41,casual
41.77,-87.74,93,casual
41.83,-87.65,3716,casual
41.81,-87.67,837,member
41.74,-87.64,222,member
41.78,-87.69,232,member
41.98,-87.73,64,member
42.04,-87.68,1744,casual
42.0,-87.65,174,member
41.9,-87.77,238,member
41.66,-87.61,249,casual
41.9,-87.61,46,member
42.05,-87.7,1264,casual
41.78,-87.63,1233,casual
41.77,-87.74,27,member
41.71,-87.6,344,casual
41.97,-87.77,32,member
41.77,-87.7,273,casual
42.07,-87.69,64,casual
41.77,-87.69,124,member
42.04,-87.7,2006,member
41.96,-87.77,70,casual
42.04,-87.71,80,casual
41.75,-87.67,90,member
41.7,-87.64,184,member
41.69,-87.71,67,member
41.69,-87.54,16,member
41.82,-87.64,859,casual
41.77,-87.73,287,casual
41.77,-87.73,42,member
41.98,-87.72,1675,member
41.89,-87.74,108,member
41.79,-87.66,985,casual
41.75,-87.59,814,casual
41.74,-87.57,714,casual
41.74,-87.57,284,member
41.73,-87.63,204,member
41.65,-87.54,291,casual
41.69,-87.67,242,casual
41.7,-87.66,285,casual
41.71,-87.59,156,casual
41.71,-87.72,247,casual
41.78,-87.78,75,casual
42.0,-87.73,19,member
41.76,-87.7,32,casual
41.68,-87.66,125,member
42.04,-87.71,46,member
41.72,-87.67,109,member
41.88,-87.78,5,casual
41.67,-87.63,93,casual
41.97,-87.63,42,casual
41.97,-87.8,9,member
42.05,-87.71,65,casual
41.96,-87.81,10,casual
41.68,-87.72,3,member
41.95,-87.83,76,member
41.79,-87.78,4,member
41.98,-87.79,18,casual
41.76,-87.74,29,casual
41.71,-87.56,105,casual
41.72,-87.53,34,member
41.83,-87.73,30,casual
41.81,-87.74,18,member
42.01,-87.78,6,member
41.98,-87.81,25,member
41.76,-87.74,2,member
41.98,-87.87,1,casual
41.98,-87.83,4,member
41.9,-87.6,1,casual
41.86,-87.74,18,casual
41.79,-87.75,1,casual
41.7,-87.52,10,member
41.99,-87.81,14,casual
41.99,-87.79,11,member
41.67,-87.67,12,member
42.01,-87.79,2,member
41.65,-87.56,3,casual
41.98,-87.85,2,casual
42.0,-87.78,5,casual
41.78,-87.76,29,casual
41.75,-87.53,1,member
41.77,-87.76,2,casual
41.98,-87.86,4,casual
41.97,-87.86,1,casual
41.96,-87.85,1,member
41.99,-87.74,7,casual
42.0,-87.87,1,member
41.75,-87.74,9,casual
41.75,-87.69,3,member
41.66,-87.56,10,casual
41.66,-87.62,5,casual
41.77,-87.78,2,casual
41.97,-87.79,7,member
41.87,-87.78,1,member
41.86,-87.79,1,casual
41.66,-87.52,2,casual
41.85,-87.8,1,member
41.8,-87.78,1,casual
41.66,-87.62,1,member
