Material,Matl group,Size/dimensions
01010110,UNASSIGN,None
01010133,UNASSIGN,None
01186971,UNASSIGN,None
01189202F,UNASSIGN,None
01189203,UNASSIGN,None
01189210F,UNASSIGN,None
01189211F,UNASSIGN,None
01189212F,UNASSIGN,None
01189213,UNASSIGN,None
01189214,UNASSIGN,None
01189215,UNASSIGN,None
01189216,UNASSIGN,None
01189218F,UNASSIGN,None
01189219,UNASSIGN,None
01189220,UNASSIGN,None
01500618RR,D12C2,None
01500636,MAGRD,None
01500815,UNASSIGN,None
01500825,UNASSIGN,None
01500829,UNASSIGN,None
01500830,D12C2,None
01500831,UNASSIGN,None
01500833,UNASSIGN,None
01500835,UNASSIGN,None
01500836,UNASSIGN,None
01500838,UNASSIGN,None
01500839,UNASSIGN,None
01500841,UNASSIGN,None
01500848,UNASSIGN,None
01500854,UNASSIGN,None
01500855,UNASSIGN,None
01500861,UNASSIGN,None
01500862,UNASSIGN,None
01500863,UNASSIGN,None
01500864,UNASSIGN,None
01500865,UNASSIGN,None
01500866,UNASSIGN,None
01500867,UNASSIGN,None
01500868,UNASSIGN,None
01500869,UNASSIGN,None
01500870,UNASSIGN,None
01500874,UNASSIGN,None
01500882,D12C2,None
04010040,EPSDP,None
04010040A,EPSDB,None
04010041,EPSC,None
04010041A,EPSCB,None
04010041B,EPSCB,None
04010289,EPSDP,None
04010289A,EPSDB,None
04010292,EPSCP,None
04010293,EPSDP,None
04010294,EPSCP,None
04010294A,EPSCB,None
04010295,EPSDP,None
04010295A,EPSDB,None
04010296,EPSCP,None
04010298,EPSCP,None
04010298A,EPSCB,None
04010300,EPSDP,None
04010300A,EPSDB,None
04010308,EPSCP,None
04010308A,EPSCB,None
04010309,EPSCP,None
04010309A,EPSCB,None
04010312,EPSDP,None
04010312A,EPSDB,None
04010385,EPSCP,None
04010385A,EPSCB,None
04010386,EPSCP,None
04010388,EPSCP,None
04010388A,EPSCB,None
04010391,EPSCP,None
04010408,EPSN,None
04010425,EPSNP,None
04010523,EPSNL,None
04010525,EPSNL,None
04010527,EPSNL,None
04010528,EPSNL,None
04010529,EPSDP,None
04010529A,EPSDB,None
04010613,EPSDP,None
04010640,EPSNP,None
04010665,EPSNP,None
04010678,EPSDP,None
04010694,EPSCP,None
04010694A,EPSCB,None
04010696,EPSDP,None
04010697,EPSCP,None
04010698,EPSCP,None
04010702,EPSCP,None
04010703,EPSDP,None
04010704,EPSDP,None
04010705,EPSDP,None
04010705A,EPSDB,None
04010706,EPSCP,None
04010706A,EPSCB,None
04010730,EPSNP,None
04010731,EPSNP,None
04010732,EPSDP,None
04010733,EPSDP,None
04010736,EPSCP,None
04010736A,EPSCB,None
04010741,EPSNP,None
04010755,EPSYC,None
04010756,EPSYC,None
04010757,EPSYC,None
04010758,EPSYC,None
04010761,EPSCP,None
04010761A,EPSCB,None
04010762,EPSCP,None
04010762A,EPSCB,None
04010766,EPSCP,None
04010766A,EPSCB,None
04010768,EPSCP,None
04010769,EPSCP,None
04010769A,EPSCB,None
04010770,EPSCP,None
04010770A,EPSCB,None
04010771A,EPSDB,None
04010775,EPSDP,None
04010775A,EPSDB,None
04010781,EPSDP,None
04010782,EPSDP,None
04010788,EPSCP,None
04010789,EPSYC,None
04010790,EPSDP,None
04010791,EPSDP,None
04010792,EPSNL,None
