Order,Material Number,Order quantity (GMEIN),Confirmed quantity (GMEIN),Total scrap (GMEIN),Material description,Created on,Actual finish date,Time to complete
1054342,01500831,100,100,0,"FLYER, W&I INTERNAL FLYER",2024-03-20,2024-03-21,1
1054125,01500833,100,100,0,"FLYER, TRUE VALUE",2024-01-17,2024-01-17,0
1054086,01500835,100,100,0,"FLYER, ORGILL 2024 SHOW FLYER",2024-01-18,2024-01-18,0
1054206,01500836,100,100,0,"FLYER, DO IT BEST 2024 SHOW",2024-02-12,2024-02-12,0
1054181,01500838,100,100,0,"FLYER, ACE 2024 SHOW FLYER",2024-02-05,2024-02-05,0
1054288,01500838,100,100,0,"FLYER, ACE 2024 SHOW FLYER",2024-03-05,2024-03-05,0
1054103,01500839,150,150,0,"ORDER FORM, ORGILL 2024 SHOW",2024-01-29,2024-01-29,0
1054102,01500841,100,100,0,"FLYER, VMC 2024 SHOW",2024-01-24,2024-01-25,1
1054249,TABDIV,230,230,0,"TAB, DIVIDER, REP MAILING SAMPLES",2024-02-26,2024-03-05,8
1054090,01010110,2466,2466,0,PPR/16.75 X 24/01010130 2000 C1S 142M,2024-01-29,2024-01-29,0
1054234,01010110,3698,3698,0,PPR/16.75 X 24/01010130 2000 C1S 142M,2024-03-01,2024-03-01,0
1054641,01010110,2194,2194,0,PPR/16.75 X 24/01010130 2000 C1S 142M,2024-06-10,2024-06-10,0
1054309,01010133,834,834,0,PPR/19 X 23/ 1/2 01010137 12pt C1S 157M,2024-03-13,2024-03-13,0
1054745,01010133,1333,1333,0,PPR/19 X 23/ 1/2 01010137 12pt C1S 157M,2024-06-20,2024-06-20,0
1054207,DK24-HAL,225,225,0,2024 Halloween & Thanksgiving,2024-02-12,2024-02-21,9
1054270,DK24-MAY,225,225,0,2024 May Midyear Deck,2024-03-12,2024-04-15,34
1054445,DK24-WIVYED,200,200,0,2024 Willow & Ivy Everyday Dec,2024-05-13,2024-05-17,4
1054446,DK24-WIVYFALL,200,200,0,2024 Willow & Ivy Fall Deck,2024-05-13,2024-05-16,3
1054447,DK24-WIVYXM,200,200,0,2024 Willow & Ivy Holiday Deck,2024-05-13,2024-05-16,3
1054226,DK24-XAST,225,225,0,2024 Holiday Assortment Sample,2024-02-16,2024-03-06,19
1054209,DK24-XCL,225,225,0,2024 Boxed Classic Deck,2024-02-12,2024-02-21,9
1054210,DK24-XCST,225,225,0,2024 Coaster Deck,2024-02-12,2024-02-28,16
