"station_name","net_flux"
"1 Ave & E 38 St","1"
"10 Ave & W 14 St","1"
"11 Ave & W 27 St","2"
"11 Ave & W 41 St","1"
"11 St & Washington St","1"
"12 Ave & W 40 St","4"
"12 St & Sinatra Dr N","17"
"14 St Ferry - 14 St & Shipyard Ln","-40"
"2 St & Park Ave","-26"
"4 St & Grand St","-12"
"4 St & River St","8"
"47 Ave & 31 St","2"
"5 Ave & E 72 St","1"
"5 Ave & E 87 St","1"
"5 Corners Library","-23"
"6 Ave & Broome St","1"
"6 Ave & W 33 St","2"
"6 Ave & W 45 St","1"
"6 Ave & Walker St","2"
"6 St & Grand St","-13"
"7 St & Monroe St","-11"
"8 Ave & W 16 St","10"
"8 Ave & W 38 St","1"
"8 St & Washington St","-16"
"9 Ave & W 22 St","1"
"9 Ave & W 33 St","2"
"9 St HBLR - Jackson St & 8 St","-1"
"Adams St & 12 St","16"
"Adams St & 2 St","-3"
"Allen St & Stanton St","1"
"Amsterdam Ave & W 66 St","1"
"Astor Place","-10"
"Baldwin at Montgomery","-49"
"Bank St & Hudson St","1"
"Bergen Ave","-22"
"Bergen Ave & Sip Ave","-31"
"Bergen Ave & Stegman St","-17"
"Bergen St & Smith St","1"
"Bleecker St & Crosby St","6"
"Bloomfield St & 15 St","-21"
"Broadway & W 48 St","1"
"Broadway & W 53 St","1"
"Broadway & W 56 St","1"
"Broadway & W 58 St","1"
"Brunswick & 6th","-18"
"Brunswick St","-27"
"Central Park S & 6 Ave","2"
"Centre St & Chambers St","2"
"Centre St & Worth St","1"
"Christ Hospital","-20"
"Church Sq Park - 5 St & Park Ave","-21"
"Church St & Worth St","1"
"City Hall","-85"
"City Hall - Washington St & 1 St","33"
"Cleveland Pl & Spring St","1"
"Clinton St & 7 St","7"
"Clinton St & Newark St","-1"
"Columbus Drive","4"
"Columbus Park - Clinton St & 9 St","2"
"Communipaw & Berry Lane","-16"
"Dey St","-12"
"Dixon Mills","17"
"Duane St & Hudson St","1"
"E 1 St & Bowery","1"
"E 11 St & 1 Ave","3"
"E 16 St & Irving Pl","1"
"E 17 St & Broadway","1"
"E 35 St & Madison Ave","1"
"E 40 St & 5 Ave","13"
"E 40 St & Park Ave","4"
"E 41 St & Madison Ave (SE corner)","2"
"E 43 St & Madison Ave","1"
"E 5 St & Cooper Sq","1"
"E 50 St & Park Ave","1"
"E 51 St & Lexington Ave","1"
"E 53 St & Lexington Ave","1"
"E 53 St & Madison Ave","1"
"E 55 St & 2 Ave","1"
"E 58 St & 3 Ave","1"
"E 67 St & Park Ave","1"
"E 75 St & 3 Ave","1"
